id, name
com.samsung.android.setting.multisound,Unknown
com.samsung.android.spay,Samsung Pay 
com.samsung.android.spayfw,Samsung Pay 
com.samsung.android.spdfnote,Write on PDF 
com.samsung.android.stickercenter,Unknown
com.samsung.android.stickerplugin,Unknown
com.samsung.android.svoice,Unknown
com.samsung.android.svoiceime,Unknown
com.samsung.android.themecenter,Unknown
com.samsung.android.themestore,Unknown
com.samsung.android.tripwidget,Unknown
com.samsung.android.visionarapps,Unknown
com.samsung.android.visioncloudagent,Unknown
com.samsung.android.visionintelligence,Unknown
com.samsung.android.voicewakeup,Unknown
com.samsung.android.wellbeing,Unknown
com.samsung.android.widgetapp.yahooedge.finance,Unknown
com.samsung.android.widgetapp.yahooedge.sport,Unknown
com.samsung.app.highlightplayer,Unknown
com.samsung.daydream.customization,Unknown
com.samsung.dcmservice,Unknown
com.samsung.desktopsystemui,DEX
com.samsung.enhanceservice,Unknown
com.samsung.faceservice,Unknown
com.samsung.fresco.logging,Unknown
com.samsung.groupcast,Unknown
com.samsung.hs20provider,Unknown
com.samsung.ipservice,Unknown
com.samsung.knox.appsupdateagent,Unknown
com.samsung.knox.rcp.components,Unknown
com.samsung.knox.securefolder,Secure Folder 
com.samsung.knox.securefolder.setuppage,Unknown
com.samsung.safetyinformation,Unknown
com.samsung.sec.android.application.csc,Unknown
com.samsung.SMT,Unknown
com.samsung.storyservice,Unknown
com.samsung.svoice.sync,Unknown
com.samsung.systemui.bixby,Unknown
com.samsung.systemui.bixby2,Unknown
com.samsung.ucs.agent.ese,Unknown
com.samsung.voiceserviceplatform,Unknown
com.sec.android.app.apex,Unknown
com.sec.android.app.applinker,Unknown
com.sec.android.app.billing,Unknown
com.sec.android.app.bluetoothtest,Unknown
com.sec.android.app.chromecustomizations,Chrome
com.sec.android.app.clockpackage,Unknown
com.sec.android.app.DataCreate,Unknown
com.sec.android.app.desktoplauncher,Dex
com.sec.android.app.dexonpc,Unknown
com.sec.android.app.factorykeystring,Unknown
com.sec.android.app.gamehub,Unknown
com.sec.android.app.hwmoduletest,Unknown
com.sec.android.app.magnifier,Unknown
com.sec.android.app.myfiles,Samsung My Files 
com.sec.android.app.ocr,Unknown
com.sec.android.app.parser,Unknown
com.sec.android.app.personalization,Unknown
com.sec.android.app.popupcalculator,Samsung Calculator 
com.sec.android.app.quicktool,Unknown
com.sec.android.app.ringtoneBR,Unknown
com.sec.android.app.safetyassurance,Unknown
com.sec.android.app.samsungapps,Unknown
com.sec.android.app.sbrowser,Samsung Internet Browser 
com.sec.android.app.SecSetupWizard,Unknown
com.sec.android.app.servicemodeapp,Unknown
com.sec.android.app.shealth,Samsung Health 
com.sec.android.app.SmartClipEdgeService,Unknown
com.sec.android.app.soundalive,Unknown
com.sec.android.app.sysscope,Unknown
com.sec.android.app.tfunlock,Unknown
com.sec.android.app.tourviewer,Unknown
com.sec.android.app.translator,Unknown
com.sec.android.app.ve.vebgm,Unknown
com.sec.android.app.wfdbroker,Unknown
com.sec.android.app.withtv,Unknown
com.sec.android.app.wlantest,Unknown
com.sec.android.AutoPreconfig,Unknown
com.sec.android.cover.ledcover,Unknown
com.sec.android.daemonapp,"Weather, stock, etc.."
com.sec.android.desktopmode.uiservice,Dex
com.sec.android.diagmonagent,Unknown
com.sec.android.easyMover,Samsung Smart Switch Mobile 
com.sec.android.easyMover.Agent,Unknown
com.sec.android.easyonehand,Unknown
com.sec.android.emergencylauncher,Unknown
com.sec.android.mimage.avatarstickers,Unknown
com.sec.android.mimage.gear360editor,Unknown
com.sec.android.mimage.photoretouching,Unknown
com.sec.android.ofviewer,Unknown
com.sec.android.omc,Unknown
com.sec.android.Preconfig,Unknown
com.sec.android.preloadinstaller,Unknown
com.sec.android.provider.snote,Unknown
com.sec.android.providers.security,Unknown
com.sec.android.providers.tasks,Unknown
com.sec.android.RilServiceModeApp,Unknown
com.sec.android.sdhms,Unknown
com.sec.android.service.health,Unknown
com.sec.android.sidesync30,Unknown
com.sec.android.splitsound,Unknown
com.sec.android.uibcvirtualsoftkey,Unknown
com.sec.android.widgetapp.diotek.smemo,Unknown
com.sec.android.widgetapp.easymodecontactswidget,Unknown
com.sec.android.widgetapp.samsungapps,Unknown
com.sec.app.TransmitPowerService,Unknown
com.sec.automation,Unknown
com.sec.bcservice,Unknown
com.sec.downloadablekeystore,Unknown
com.sec.enterprise.knox.attestation,Unknown
com.sec.enterprise.knox.cloudmdm.smdms,Unknown
com.sec.enterprise.mdm.services.simpin,Unknown
com.sec.enterprise.mdm.vpn,Unknown
com.sec.epdgtestapp,Unknown
com.sec.everglades,Unknown
com.sec.everglades.update,Unknown
com.sec.factory,Unknown
com.sec.factory.camera,Unknown
com.sec.factory.iris.usercamera,Unknown
com.sec.hearingadjust,Unknown
com.sec.ims,Unknown
com.sec.imslogger,Unknown
com.sec.imsservice,Unknown
com.sec.kidsplat.installer,Unknown
com.sec.knox.foldercontainer,Unknown
com.sec.knox.knoxsetupwizardclient,Unknown
com.sec.knox.switcher,Unknown
com.sec.location.nsflp2,Unknown
com.sec.mldapchecker,Unknown
com.sec.modem.settings,Unknown
com.sec.providers.assisteddialing,Unknown
com.sec.readershub,Unknown
com.sec.smartcard.manager,Unknown
com.sec.spen.flashannotate,Unknown
com.sec.spp.push,Samsung Push Service 
com.sec.sve,Unknown
com.sec.usbsettings,Unknown
com.sec.vowifispg,Unknown
com.sec.yosemite.phone,Unknown
com.sem.factoryapp,Unknown
com.singtel.mysingtel,My Singtel 
